id,plot,sentinel_id
48406,"((34.467383668000025,31.245457145000046),(34.46654334300007,31.24379443600003),(34.465857913000036,31.244970885000043),(34.46733478600004,31.245554372000072),(34.467383668000025,31.245457145000046))",36RXV
196936,"((35.61821226300003,32.98365888700005),(35.618464120000056,32.98350242600003),(35.61793996700004,32.98262116800004),(35.617871947000026,32.98269460800003),(35.61761113500006,32.982972190000055),(35.61751953300006,32.98308177500007),(35.61795972900006,32.98383103900005),(35.618032096000036,32.98377219100007),(35.61821226300003,32.98365888700005))",36SYB
147365,"((34.67757889600006,31.671584689000042),(34.67697284600007,31.670769875000076),(34.67595851100003,31.671314814000027),(34.67657269000006,31.672111028000074),(34.67757889600006,31.671584689000042))",36SXA
184265,"((35.22148617100004,33.007848366000076),(35.22141878800005,33.00715056300004),(35.22122310100008,33.00716247300005),(35.22102593400007,33.00717447400007),(35.221110130000056,33.00775390600006),(35.22112516400006,33.00785736200004),(35.22148617100004,33.007848366000076))",36SXB
91149,"((35.459936827000035,33.06551807500006),(35.45971436800005,33.06469952600003),(35.459475359000066,33.06475204900005),(35.45885781700008,33.064887756000076),(35.45876195400007,33.06490882200006),(35.45842513600007,33.06498283600007),(35.45853874300008,33.06522422900008),(35.45891906600008,33.06557726500006),(35.45897725800006,33.06568909400005),(35.45898375200005,33.06570461800004),(35.45908175400007,33.06567769900005),(35.459936827000035,33.06551807500006))",36SYB
165864,"((34.95024598500004,32.16437271600006),(34.95017831400003,32.16522676000005),(34.950559756000075,32.165176916000064),(34.95055659700006,32.16513150700007),(34.95078876600007,32.16509850700004),(34.95059796100003,32.164434792000065),(34.95054915400004,32.16443469500007),(34.95047534100007,32.16434865200006),(34.95024598500004,32.16437271600006))",36SXA
192700,"((35.31796862300007,32.522962945000074),(35.31782018700005,32.52265648900004),(35.317563896000024,32.52274409800003),(35.317711161000034,32.523050555000054),(35.31796862300007,32.522962945000074))",36SYB
69468,"((35.66129743800008,32.90323734300006),(35.66226540800005,32.90263558800007),(35.66151959700005,32.902077191000046),(35.660407543000076,32.90274777500008),(35.66047888000003,32.90280151400003),(35.66082418600007,32.90305500200003),(35.660892671000056,32.90309593600006),(35.661056564000035,32.903118343000074),(35.66111764500005,32.90314804800005),(35.661237165000045,32.90322906200004),(35.66129743800008,32.90323734300006))",36SYB
5351,"((34.97246241700003,32.532187091000026),(34.97195416100004,32.53197025800006),(34.970760710000036,32.533870843000045),(34.97127433700007,32.53410566900004),(34.97246241700003,32.532187091000026))",36SXB
184331,"((35.470881786000064,33.01461180900003),(35.47074090900003,33.01441810100005),(35.47074072300006,33.014417543000036),(35.47068589000003,33.01425423100005),(35.470683300000076,33.01425484500004),(35.47051039400003,33.01429581200006),(35.470566752000025,33.01449577100004),(35.47033877200005,33.014488322000034),(35.47023805500004,33.014485111000056),(35.47024396900008,33.014672285000074),(35.470244094000066,33.01467273500003),(35.470344460000035,33.01502823000004),(35.470501788000036,33.01533276600003),(35.47056570900003,33.01529539400008),(35.470633545000055,33.01525571600007),(35.47063441300003,33.01525520900003),(35.47079715700005,33.01534501200007),(35.47094768200003,33.015184102000035),(35.470946979000075,33.01518385600008),(35.47086079500008,33.015153362000035),(35.47075345300004,33.01488683000008),(35.47090380700007,33.014829751000036),(35.47111130600007,33.014757366000026),(35.47115590100003,33.014741841000045),(35.47139254600006,33.014562097000066),(35.47139316100004,33.01456163100005),(35.471327847000055,33.01442099500008),(35.47129405800007,33.014348238000025),(35.47096945900006,33.01456082400006),(35.47088496900005,33.01461618600007),(35.470881786000064,33.01461180900003))",36SYB
227812,"((34.65773535000005,31.360374816000046),(34.657725708000044,31.360365511000055),(34.65769682400003,31.360389577000035),(34.65744882600006,31.360586135000062),(34.657166131000054,31.360852331000046),(34.656993998000075,31.361039221000055),(34.65684173900007,31.36118056600003),(34.65679092900007,31.361224393000043),(34.656814148000024,31.361228914000037),(34.657489465000026,31.36130894200005),(34.65797833000005,31.361347890000047),(34.65813035700006,31.36134570100006),(34.65829561900006,31.361340733000077),(34.658474116000036,31.361332986000036),(34.65851646600004,31.361313164000023),(34.65854260900005,31.361255421000067),(34.65854092400008,31.361183761000063),(34.65847539500004,31.361111804000075),(34.65773535000005,31.360374816000046))",36RXV
136043,"((35.32839856100003,32.79644442100005),(35.328165252000076,32.79633999400005),(35.32699867800005,32.79877330000005),(35.32726366000003,32.79883479700004),(35.32839856100003,32.79644442100005))",36SYB
188349,"((35.30684289800007,32.809664346000034),(35.30640945500005,32.80960751600003),(35.30594737500007,32.81200111000004),(35.30636106600008,32.81208080000005),(35.30677342200005,32.810058785000024),(35.30679591100005,32.80994850400003),(35.30684289800007,32.809664346000034))",36SYB
238450,"((34.75947505400006,31.787602156000048),(34.759354048000034,31.787136647000068),(34.75791762500006,31.787411907000035),(34.75799682500008,31.787859595000043),(34.75813419700006,31.78783581700003),(34.759036509000055,31.787681156000076),(34.759162368000034,31.787657969000065),(34.75947505400006,31.787602156000048))",36SXA
226623,"((34.85743949600004,31.76820198300004),(34.85633176600004,31.768145348000076),(34.85643402100004,31.768904735000035),(34.857521588000054,31.768959921000032),(34.85755411200006,31.768961570000045),(34.85746569600008,31.768203322000033),(34.85743949600004,31.76820198300004))",36SXA
104000,"((35.30063892700008,30.799965345000032),(35.29992817100003,30.799944768000046),(35.299889902000075,30.80061144600006),(35.30059742200007,30.800640704000045),(35.30063892700008,30.799965345000032))",36RYV
76089,"((35.08187256300005,32.75060588200006),(35.08045871200005,32.750178634000065),(35.08006837700003,32.750704306000046),(35.08161766600006,32.75119252800005),(35.08187256300005,32.75060588200006))",36SXB
272114,"((35.75122191500003,33.20953785300003),(35.75130796600007,33.20957488200003),(35.75147291500008,33.20952071800008),(35.751564676000044,33.209453515000064),(35.75195240100004,33.20893344700005),(35.75158822700007,33.208641132000025),(35.75133872500004,33.20889873800007),(35.75122363600008,33.20879236500008),(35.751185759000066,33.20883528300004),(35.75119813600003,33.209292136000045),(35.75119943200008,33.209500544000036),(35.75122191500003,33.20953785300003))",36SYB
183,"((35.04344328700006,32.37071478300004),(35.044670652000036,32.37352258300007),(35.04171542800003,32.37431875100003),(35.041679911000074,32.374228592000065),(35.04159983000005,32.37402530900005),(35.04083959700006,32.372095424000065),(35.039581903000055,32.37252049700004),(35.039593953000065,32.37256330900004),(35.04042486000003,32.375515506000056),(35.04072627600004,32.37640233900004),(35.041025183000045,32.37722283800008),(35.042286869000066,32.377633306000064),(35.04689826300006,32.37668494600007),(35.04725466000008,32.37661373900005),(35.04730546800005,32.37628138400004),(35.04632517400006,32.37379131700004),(35.046744432000025,32.373631870000054),(35.04693819600004,32.373576908000075),(35.045328907000055,32.36992106400004),(35.04344328700006,32.37071478300004))",36SXA
204025,"((35.588092765000056,33.23764498000003),(35.58770498700005,33.23729454200003),(35.58580008400003,33.23891340200004),(35.58518103200004,33.23944022400008),(35.584067195000046,33.24035426700004),(35.58407815800007,33.24040833200007),(35.584129639000025,33.240701202000025),(35.58413636200004,33.24074238600008),(35.58420378500006,33.24119858200004),(35.584240237000074,33.24146508000007),(35.584370971000055,33.24140156800007),(35.58580561200006,33.240186477000066),(35.587200659000075,33.23900467200008),(35.587311922000026,33.23890623200003),(35.58683804300006,33.238495288000024),(35.58719175400006,33.238192156000025),(35.588092765000056,33.23764498000003))",36SYB
213700,"((35.143092040000056,31.357464098000037),(35.143359202000056,31.357306393000044),(35.14332446900005,31.357056640000053),(35.14336573300005,31.356794027000035),(35.143407886000034,31.356619258000023),(35.14342294000005,31.356253996000078),(35.14332120100005,31.35577143100005),(35.143270992000055,31.355566314000043),(35.14310169700008,31.355537463000076),(35.143022847000054,31.355578011000034),(35.142930206000074,31.355816339000057),(35.142956423000044,31.35590437700006),(35.14302677200004,31.356008130000077),(35.14323996200005,31.356256254000073),(35.14331956400002,31.356516129000056),(35.143295383000066,31.356691357000045),(35.14322805300003,31.35679396200004),(35.14311244800007,31.356948943000077),(35.14309439900006,31.357067895000057),(35.14313214800006,31.35720148400003),(35.143138505000024,31.35728653600006),(35.143085916000075,31.357345766000037),(35.14294705800006,31.357376635000037),(35.14293346900007,31.357424069000047),(35.142960634000076,31.357511927000076),(35.142932210000026,31.357582983000043),(35.14284805500006,31.35769910700003),(35.14289835900007,31.357758837000063),(35.14296042400008,31.357834446000027),(35.142987782000034,31.357622512000034),(35.143092040000056,31.357464098000037))",36RXV
143049,"((34.59462825700007,31.377205830000037),(34.59374357300004,31.37695725100008),(34.59344504000006,31.377755639000043),(34.59344296900008,31.377761176000035),(34.594269577000034,31.37803983200007),(34.59462825700007,31.377205830000037))",36RXV
217137,"((35.37528619500006,32.95702941700006),(35.375272722000034,32.95714881400005),(35.37525350000004,32.957389688000035),(35.375247743000045,32.95740292200003),(35.37536826400003,32.95747194200004),(35.37536834000008,32.957511201000045),(35.37537067400007,32.95755114100007),(35.37533865100005,32.95758768700006),(35.37537745000003,32.95764272300005),(35.375381418000075,32.957690109000055),(35.37541121400005,32.95773301000003),(35.37549621100004,32.95778657200003),(35.37560662100003,32.957811469000035),(35.375461296000026,32.95728920600004),(35.37535887000007,32.95703477400008),(35.37528619500006,32.95702941700006))",36SYB
142932,"((34.60140160000003,31.37787055600006),(34.60062934300004,31.37983453000004),(34.601235220000035,31.38002802300008),(34.601237662000074,31.380022152000038),(34.60147816500006,31.379818069000066),(34.60181924800003,31.37954287000008),(34.60181493600004,31.37934718100007),(34.602114408000034,31.378618405000054),(34.60214915200004,31.378403810000066),(34.602061341000024,31.37821727200003),(34.60140160000003,31.37787055600006))",36RXV
256682,"((35.42365995000006,32.88724753500003),(35.423494901000026,32.88715089300007),(35.42324155400007,32.88706793100005),(35.42314083300005,32.88705514600008),(35.42307998300004,32.88702707500005),(35.423050115000024,32.88730777500007),(35.42308024000005,32.887403525000025),(35.423126334000074,32.887406826000074),(35.423161392000054,32.887402820000034),(35.423167559000035,32.88739886400003),(35.423177225000074,32.887390958000026),(35.42331244500008,32.88737663300003),(35.42340766700005,32.887393372000076),(35.42357836100007,32.887409416000025),(35.42364900900003,32.88741549200006),(35.42365995000006,32.88724753500003))",36SYB
44482,"((35.44899756900003,32.01253282500005),(35.44900158300004,32.01199612800008),(35.44767477400006,32.011992270000064),(35.44759870100006,32.01253772000007),(35.44899756900003,32.01253282500005))",36SYA
128,"((34.99452307400003,32.31586347100006),(34.99128164600006,32.31655555200007),(34.98967254000007,32.31690234700005),(34.98956182300003,32.317057257000045),(34.98959511700008,32.31723625700005),(34.989729375000024,32.31728037200003),(34.989936140000054,32.31729664200003),(34.99178600500005,32.31689799000003),(34.994667949000075,32.31626517600006),(34.99452307400003,32.31586347100006))",36SXA
82771,"((35.74441021800004,33.25457080100006),(35.74464989300003,33.25445922800003),(35.744638906000034,33.25442898400007),(35.74461663500006,33.25443484700003),(35.74461148000006,33.254418730000054),(35.744508867000036,33.25436966600006),(35.74433687900006,33.254329933000065),(35.74424380100004,33.25433669800003),(35.744110755000065,33.25439129100005),(35.74400983700008,33.25443493300003),(35.743893738000054,33.254461769000045),(35.74388859000004,33.254446503000054),(35.743801673000064,33.25445112600005),(35.74379447500007,33.25443162100004),(35.743720446000054,33.254394568000066),(35.74369011700003,33.254394699000045),(35.743688991000056,33.25437601600004),(35.74350539300008,33.25431724800006),(35.74332983200003,33.25429877800008),(35.74312907700005,33.25430658100004),(35.742987166000034,33.25434410100007),(35.743040464000046,33.254463430000044),(35.74306712200007,33.25452311300006),(35.74308478700004,33.25452025100003),(35.74309944200007,33.25451787700007),(35.74310874400004,33.25455096400003),(35.743295586000045,33.254519575000074),(35.743302404000076,33.25454484900007),(35.743339313000035,33.254544689000056),(35.74339923400004,33.254729274000056),(35.74370675800003,33.25473632400008),(35.74390340900004,33.25475292400006),(35.74397502700003,33.25475010200006),(35.744120733000045,33.25467993600006),(35.74441021800004,33.25457080100006))",36SYB
264455,"((35.19800040800004,32.96556534200005),(35.198011106000024,32.96591394700005),(35.19821986100004,32.965895862000025),(35.19822978700006,32.96561673900004),(35.19827223500005,32.96561944100006),(35.19838789900007,32.96563283100005),(35.19838924600003,32.965584456000045),(35.19839028900003,32.96554696900006),(35.19841593800004,32.96534147800003),(35.19792502000007,32.96532230300005),(35.19797418200005,32.96537486200003),(35.19802297200005,32.965538293000066),(35.19800040800004,32.96556534200005))",36SXB
194806,"((35.47713416000005,32.15992557800007),(35.476217328000075,32.15958595600006),(35.47575135100004,32.15942184000005),(35.475696654000046,32.15956624200004),(35.47563457800004,32.159689198000024),(35.47557131700006,32.15980548300007),(35.475551205000045,32.15985169700008),(35.47625997400007,32.16006038200004),(35.47696337900004,32.16028215000006),(35.47701946700005,32.16017832400007),(35.47713416000005,32.15992557800007))",36SYA
213010,"((35.124752572000034,31.250677818000042),(35.12463709800005,31.250670891000027),(35.12454470800003,31.250679853000065),(35.12454776900006,31.25078357500007),(35.12469473300007,31.250797196000065),(35.124758617000055,31.25085585900007),(35.124789974000066,31.251019937000024),(35.12486243500007,31.251117478000026),(35.12493591900005,31.251122034000048),(35.12499260000004,31.251257356000053),(35.125038688000075,31.25125738400004),(35.125039806000075,31.251301399000056),(35.12507844100003,31.251300340000057),(35.12511742300006,31.251259778000076),(35.12506709100006,31.251188676000027),(35.125016782000046,31.25108943400005),(35.12502954000007,31.251023513000064),(35.12504536500006,31.250930535000066),(35.12496973800006,31.250853194000058),(35.12487416100004,31.250779899000065),(35.124825979000036,31.250773646000027),(35.124752572000034,31.250677818000042))",36RXV
140003,"((34.41889801100007,31.230971236000073),(34.41855184000008,31.230948573000035),(34.418523754000034,31.231253457000037),(34.41886545700004,31.231275080000046),(34.41889801100007,31.230971236000073))",36RXV
220476,"((34.976029855000036,32.327502622000054),(34.97722779900005,32.32711057700004),(34.97708201000006,32.32677333000004),(34.97594642800004,32.32718881400007),(34.976029855000036,32.327502622000054))",36SXA
115469,"((34.79114312100006,31.71859457900007),(34.791187697000055,31.71858200500003),(34.79028176700007,31.717521403000035),(34.79023843400006,31.717470671000058),(34.78958623600005,31.717675427000074),(34.79052652100006,31.71876852200006),(34.79114312100006,31.71859457900007))",36SXA
134171,"((34.383381271000076,31.218331541000055),(34.38272501500006,31.21807033700003),(34.382136256000024,31.219167277000054),(34.38318660700003,31.21960593400007),(34.383634517000075,31.21843233800007),(34.383381271000076,31.218331541000055))",36RXV
262520,"((35.193313954000075,32.93871319200008),(35.193170105000036,32.93867485800007),(35.19314113400003,32.93868910700007),(35.19299599800007,32.93876050100005),(35.19314110200003,32.93894746600006),(35.193234380000035,32.93906765600008),(35.19328667900004,32.93904568100004),(35.19337874400003,32.939007368000034),(35.193522941000026,32.93894764500004),(35.19356554900003,32.93892679800007),(35.19356404700005,32.938913273000026),(35.19355036200005,32.93878534700008),(35.193313954000075,32.93871319200008))",36SXB
223356,"((35.276969165000025,32.74064154300004),(35.27644216700003,32.740150766000056),(35.27638779400007,32.740201383000056),(35.27623535600003,32.74036539900004),(35.27695304800005,32.741021276000026),(35.277081354000074,32.74074601900003),(35.276969165000025,32.74064154300004))",36SYB
153203,"((34.671067847000074,31.32314947100008),(34.67103749900008,31.322941911000044),(34.670995978000064,31.321920892000037),(34.670949746000076,31.320804073000033),(34.670946435000076,31.320254540000064),(34.67051910500004,31.320023864000063),(34.67031857300003,31.320020234000026),(34.67001255100007,31.32005611900007),(34.66974130400007,31.320091696000077),(34.66975919500004,31.32027214900006),(34.669789828000035,31.320633031000057),(34.669812886000045,31.32099604700005),(34.66989114800003,31.32202001400003),(34.66990996200008,31.322781105000047),(34.669899351000026,31.32296703000003),(34.66987954800004,31.323348085000077),(34.67035864700006,31.323325187000023),(34.670441625000024,31.32314235800004),(34.67086726000008,31.32311707100007),(34.671067847000074,31.32314947100008))",36RXV
239055,"((35.56664080200005,32.883379724000065),(35.56688204500006,32.88325664000007),(35.567172439000046,32.883330589000025),(35.567378775000066,32.882551480000075),(35.56720112600004,32.882460207000065),(35.56588061300005,32.882708802000025),(35.56588018000008,32.88274406100004),(35.565875780000056,32.88310215100006),(35.56587455600004,32.883201761000066),(35.56664080200005,32.883379724000065))",36SYB
